stableEventId,module,trigger,tickOrState,soundIntent,spatialMode,anchor,socketId,mixerBus,priority,maxConcurrent,cooldownSeconds,soundminerQuery,candidateFiles,editTask,finalResource,acceptanceStatus,sourcePath,sourceLibrary,sourceHash
event.combat.enemy.break,GlobalCombat,combat trace,enemy break committed,"impactful enemy break punctuation",WorldPositioned,OwnerRoot,TBD,SFX,20,1,0.25,"retro game arcade enemy stagger break energy laser burst spell impact short","Retro Game Slinky Laser Burst 1-3; recids 5564/5565/5566; three approved sibling previews","mono fold-down; 48kHz/24-bit; 2ms fade-in; 10ms fade-out; +2dB transient contour over 80ms; 1.1 soft saturation; normalize peak to -3.5dBFS",Assets/FPGDemo/Audio/Forest/SFX/SFX_Enemy_Break_01..03.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】复古游戏类-Retro Game_Epic Stock Media\03-打击和武器-Impacts And Weapon","Retro Game / Epic Stock Media","93713f5315c02a99c526ecbd914f290b13da1b3cdab9d446f58e94c43265d37c;04982bce067af042c3600fd73319eaa1d58b3f51b4ac751ba25608c8ede91486;040555e069bd67189cd085a3ea5976c8d187a99e7d05c93a79b464478590a578"
event.combat.reticle.lock,GlobalCombat,reticle transition,hittable transition,"target lock audio excluded by design",TwoDimensional,OwnerRoot,TBD,UI,130,1,0.08,"","","","",ExcludedByDesign,,,
"event.room.entered","Interaction","encounter lifecycle","Preparing","soft room entry confirmation","TwoDimensional","OwnerRoot","TBD","UI","120","1","0.25","game ui room enter soft short synth knock blip squeezed button","Fantasy Game UI Short Synth Knock Blip 03; recid 9542; user selected candidate 03 only","mono fold-down; 48kHz/24-bit; 97ms; 1ms fade-in; 8ms fade-out; normalize peak to -11dBFS","Assets/FPGDemo/Audio/Forest/SFX/UI_Room_Entered_03.wav","BoundAndValidated","F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\14-用户界面-UI\【点击 短合成敲击哔哔声 小挤压按钮03 2】UIClick_UI Short Synth Knock Blips Small Squeezed Button 03_ESM_FG2.wav","Fantasy Game 2 / Epic Stock Media","4651c6d5fadaf4e0d3676709490397a335d63a2730b4bc8e0943dbfd9cb24978"
"event.room.exit.unlocked","Interaction","encounter lifecycle","ExitUnlocked","clear exit-open confirmation","TwoDimensional","OwnerRoot","TBD","UI","120","1","0.25","game ui exit unlocked positive simple note sweep riser glassy","Fantasy Game UI Positive Confirm Simple Note Sweep Riser Glassy 01; recid 9537; user selected candidate 01 only","mono fold-down; 48kHz/24-bit; 300ms; 2ms fade-in; 20ms fade-out; normalize peak to -5.5dBFS","Assets/FPGDemo/Audio/Forest/SFX/UI_Exit_Unlocked_01.wav","BoundAndValidated","F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\14-用户界面-UI\【点击 正面确认简单音符上升玻璃质01 2】UIClick_UI Positive Confirm Simple Note Sweep Riser Glassy 01_ESM_FG2.wav","Fantasy Game 2 / Epic Stock Media","88617f0f124b6a003b671d9295cd11fa6005b94a15b9922eff6fa4440a8804cc"
event.room.exit.confirmed,Interaction,exit selected,exit confirmation,"positive exit confirmation",TwoDimensional,OwnerRoot,TBD,UI,110,1,0.25,"game ui basic confirm clicky short digital exit selection","Metroidvania UI Basic Confirm 01-03; recids 22067-22069; three sibling previews","repair malformed source tail into read-only-hash-addressed working copies; mono fold-down; 48kHz/24-bit; trim to 220ms; 1ms fade-in; 12ms fade-out; normalize peak to -6.5dBFS",UI_Exit_Confirmed_01.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】横轴动作游戏类-Metroidvania Game SFX_Epic Stock Media\13-用户界面-UI","Metroidvania Game SFX / Epic Stock Media","181fcffa30c2d5fb3e0afa415bba2f1389b5188bd89699501e002e71281006de"
event.interaction.focus,Interaction,interaction focus,focus entered,"subtle retro game navigation tick",TwoDimensional,OwnerRoot,TBD,UI,130,1,0.08,"retro game ui menu navigation focus hover short subtle","Retro Game Menu Navigation 1 only; recid 5919; user selected candidate 01","mono fold-down; 48kHz/24-bit; max 100ms; 1ms fade-in; 5ms fade-out; normalize peak to -10.5dBFS",UI_Interaction_Focus_01.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】复古游戏类-Retro Game_Epic Stock Media\09-复古界面-UI","Retro Game / Epic Stock Media","5ba50b370a5c1ac9e1edc32fa400b6705089d17aae8fbc8e96bc5b6f041dbac0"
event.interaction.confirm,Interaction,interaction command,confirm,"clean confirm click with three related game-style variations",TwoDimensional,OwnerRoot,TBD,UI,125,1,0.12,"game ui positive confirm click short neutral generic button tap","Fantasy Game UI Positive Click 01-03; recids 9603/9535/9536; all three retained","mono fold-down; 48kHz/24-bit; max 130ms; 1ms fade-in; 8ms fade-out; normalize peak to -7.5dBFS",Assets/FPGDemo/Audio/Forest/SFX/UI_Interaction_Confirm_01..03.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\14-用户界面-UI","Fantasy Game 2 / Epic Stock Media","8e04b7f6270aa7689aeeacffa1c31fb71d84e069c0d0d13b7464de855c541194;84ea1f05536e5bde77225057f83661b04f768148acb0d0c7b23e31367c61612b;b52ce386a125e08bd7681a1386101e71bccd95e279c0f1f953e2d952adf3744f"
event.interaction.reject,Interaction,interaction command,reject,"muted reject cue",TwoDimensional,OwnerRoot,TBD,UI,125,1,0.12,"game ui negative denied short simple knocks synth hit quick muted","Fantasy Game UI Negative Denied Short Simple Knocks 01; recid 9546; user selected candidate 01 only","mono fold-down; 48kHz/24-bit; 151ms; 1ms fade-in; 10ms fade-out; normalize peak to -6.5dBFS",Assets/FPGDemo/Audio/Forest/SFX/UI_Interaction_Reject_01.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\14-用户界面-UI","Fantasy Game 2 / Epic Stock Media","85507dd22558395ddd93a6e6f40fc0b235141bb47fca7a4fbba198ec638dba1d"
event.forest.ambience.loop,Environment,room audio profile,Forest loaded,"sparse forest bed with clean loop point",TwoDimensional,OwnerRoot,TBD,Ambience,200,1,0,"forest ambience loop wind leaves sparse insects no birds magical calm","01 Quest Game Steady Forest Wind Gust and Insects recid 15047; 02 Farm Game Soft Breeze recid 2416; 03 Fantasy Game Dark Magic Calm Forest Insects recid 7196; all three retained","three distinct 20s source windows from 10s; stereo 48kHz/24-bit; 1s loop crossfade with no endpoint fades; normalize peak to -16dBFS",Assets/FPGDemo/Audio/Forest/Ambience/AMB_Forest_Bed_01..03.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】探索冒险类-Quest Game_Epic Stock Media\01-环境循环-Ambience Loops\自然环境循环-Nature;F:\Audio\Epic Stock Media\【ESM】农场游戏类-Farm Game_Epic Stock Media\03-自然循环-Nature Loops;F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\01-环境-Ambience\Nature【自然】","Quest Game + Farm Game + Fantasy Game 2 / Epic Stock Media","c0494f3a15b13788f5b85759338d07c0080a890a31656c00837574bc55685f37;38159504b09959965e25686876e77f4a6826599ed76a6f2ce22d3f9728b2f2b7;e8df476e09e2f64b3b9ca24c2eb9b1a7efa38ebfc587582afece8c198be2e8dc"
event.forest.music.exploration,Music,music director,Exploration,"restrained exploration loop leaving headroom for combat cues",TwoDimensional,OwnerRoot,TBD,Music,220,1,0,"forest exploration game music restrained loop","Fantasy Game 2 Light Enchanted Forest Full Instrumental; recid 9648; user selected candidate 01 only","stereo 48kHz/24-bit; retain full loop; 100ms deterministic loop crossfade; normalize peak to -12dBFS",Assets/FPGDemo/Audio/Forest/Music/MUS_Forest_Exploration_01.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\15-音乐性-Music","Fantasy Game 2 / Epic Stock Media","d60434a3ce31c0e0338fb9cd4b8c214adc196dc180ab7a36985ee6542017e43f"
event.forest.music.combat,Music,music director,Combat,"driving combat loop with warning headroom",TwoDimensional,OwnerRoot,TBD,Music,220,1,0,"forest combat game music rhythmic loop urgent","Fantasy Game 2 Dark Combat Neutral; recid 9636; user selected candidate 01 only","stereo 48kHz/24-bit; retain full loop; 100ms deterministic loop crossfade; normalize peak to -10dBFS",Assets/FPGDemo/Audio/Forest/Music/MUS_Forest_Combat_01.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\15-音乐性-Music","Fantasy Game 2 / Epic Stock Media","c1aad8026a4a63dcff657d422c2a9ff9c8a1ccbb66228b419b99521a1d332801"
event.forest.music.victory,Music,music director,Victory,"short victory stinger then exploration return",TwoDimensional,OwnerRoot,TBD,Music,210,1,0.5,"game victory stinger short forest","Farm Game task-complete musical recid 2514; user selected candidate 01 only","stereo 48kHz/24-bit; preserve full one-shot; 2ms fade-in; 30ms fade-out; normalize peak to -5dBFS",Assets/FPGDemo/Audio/Forest/Music/MUS_Forest_Victory_01.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】农场游戏类-Farm Game_Epic Stock Media\05-通知-Notifications","Farm Game / Epic Stock Media","b9581a1831167bc14e08739f68167ca93e111b6bdcf866e32ce0dc47ff9ea9cf"
event.forest.music.defeat,Music,music director,Defeat,"short defeat stinger",TwoDimensional,OwnerRoot,TBD,Music,210,1,0.5,"game defeat stinger short","BOOM Anime Essentials Light Magic Downer recid 2626; user selected candidate 01 only","select first clean source variation by waveform activity; stereo 48kHz/24-bit; 2.75s; 2ms fade-in; 40ms fade-out; normalize peak to -5dBFS",Assets/FPGDemo/Audio/Forest/Music/MUS_Forest_Defeat_01.wav,BoundAndValidated,"F:\Audio\BOOM LIBRARY\FX13-动漫设计合集-Anime Essentials_Boom Library\05-尖锐-STINGER","Anime Essentials / BOOM Library","e11df67a402519aff2dc912da7ebbb5d54ee324a61c75bfa94fcabd1f015e891"
event.fei.reload.commit.0,Fei,reload commit,40,mechanical reload commit at authored tick,WorldPositioned,OwnerRoot,TBD,SFX,75,1,0.2,game stylized reload click ratchet snap short,"SFX_Fei_Reload_01..05.wav; Epic Stock Media Fantasy Game 2 Mechanical Click recids 9956/9957/9959/9955/9958; all five approved",mono 48kHz/24-bit; retain five sibling clicks; 1ms fade-in; 12ms fade-out; normalize peak to -6dBFS,Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Reload_01..05.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event_fei.reload.commit.0\SFX_Fei_Reload_01..05.wav,"Fantasy Game 2 / Epic Stock Media",602beb668aff766aede47769c9754e4938068e75bfdcb0bf9b04d6db6307433d;981b99073d240f544608292f59cb51da856110c012cb3635d18f046293c7f48a;70502d5d42e42d5e2151f1203bb84c625510ec6df6a720b8220d52b08acb8afb;739e6618a89629370d6abd8f6920286d46c44452858d6f0817eba3546f44e56f;4394716f4a481ddf1cd197ddf412a59b13ec720dffc1a5379c6070a189685a5f
presentation.fei.secondary.execute.audio.0,Fei,secondary immediate launch,0,compact arcane energy projectile launch with a clear muzzle accent,WorldPositioned,OwnerSocket,weapon.secondary.muzzle,SFX,70,2,0.08,game magic sci fi projectile launch muzzle burst,"KHRON Luminous Projectile siblings 04/07/08/09/12; recids 2279/2281/2282/2283/2286; all five approved","per-source onset trim 0.16-0.25s; mono fold-down; 0.320s total; 1ms fade-in; 14ms fade-out; +2.5dB 70ms transient emphasis; gentle saturation; normalize peak to -5dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Secondary_Immediate_Launch_01..05.wav,BoundAndValidated,F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第二辑-Spells Variations Vol 1_Khron Studio\发光投射物-Luminous Projectile,Spells Variations Vol 2 / KHRON,"cc00e29666b4b3b57b5e3b4e877d681d4ea440b39a407e06940e092a804466b2;28cdb071a170d7455747d37e695799794cd9afd4c8459ba940fc6a61dc4bb591;2ce120f67a3df8e71a17d9bcc8315c2b5148e5eef17512dc883bbd96fdeaa310;21074391c633b1841f8e2c3ff1bab371698ffd4af0130fe579b1206c6ff5178e;c8269125f8dc41474a7bd16cb0b38023b5e4820d942a7ee03f1cfa5b4f619faa"
event.fei.secondary.execute.impact.base,Fei,secondary immediate impact,hit,compact magical electric projectile impact with more body than the primary hit,WorldPositioned,OwnerRoot,TBD,SFX,45,3,0.08,game magic cartoon sci fi projectile impact short burst,"KHRON Electrified Impact 01; recid 2844; candidate 01 selected","mono fold-down; 0.340s; 1ms fade-in; 12ms fade-out; +1.5dB transient contour over 70ms; gentle saturation; normalize peak to -5dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Secondary_Immediate_Hit_01.wav,BoundAndValidated,"F:\Audio\KHRON STUDIO（中译）\【KHRON】魔法咒语召唤法术第一辑-Spells Variations Vol 1_Khron Studio\电击冲击-Electrified Impact",Spells Variations Vol 1 / KHRON,12add83da675451a0d1bce25408e184e85f3530f1ceb22895b4c889d56da5cec
event.fei.secondary.execute.impact.weakpoint,Fei,secondary immediate weakpoint,hit,reinforced version of the selected base impact with the same sound identity,WorldPositioned,OwnerRoot,TBD,SFX,70,2,0.1,derived from approved KHRON Electrified Impact 01 base master,"SFX_Fei_Secondary_Immediate_Weakpoint_01.wav","layer base source with its own -3 semitone copy at -9dB and 2ms delay; +3.5dB transient contour over 60ms; stronger saturation; 0.340s mono; normalize peak to -3.5dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Secondary_Immediate_Weakpoint_01.wav,BoundAndValidated,D:\Unity\NewFPG_AudioWork\Forest\approved\event.fei.secondary.execute.impact\SFX_Fei_Secondary_Immediate_Hit_01.wav,Derived from Spells Variations Vol 1 / KHRON,12add83da675451a0d1bce25408e184e85f3530f1ceb22895b4c889d56da5cec
presentation.fei.secondary.charge.audio.0,Fei,secondary charge start,ChargeEnter tick 0,compact magical sci-fi charge ignition with an immediate readable onset,WorldPositioned,OwnerSocket,weapon.secondary.muzzle,SFX,70,1,0.15,game magic sci fi arcane energy charge start power up buildup ignition short,"Fantasy Game 2 Magic Ice Charging Glassy Spin recid 9067 selected as pair 01; pairs 02-05 remain outside Unity","same-source onset extraction; 0.650s; mono fold-down; 2ms fade-in; 24ms fade-out; +1.5dB transient contour over 85ms; gentle saturation; normalize peak to -6dBFS; 48kHz/24-bit",Assets/FPGDemo/Audio/Forest/SFX/SFX_Fei_Secondary_Charge_Start_01.wav,BoundAndValidated,"F:\Audio\Epic Stock Media\【ESM】奇幻冒险类第二辑-Fantasy Game 2_Epic Stock Media\17-奇幻冒险组件-Fantasy Game\10-魔法-Magic\Ice【冰】",Fantasy Game 2 / Epic Stock Media,45fe756f9ba186c169b32119d5f405b9fc5f5243e57146293463d6c9b2bd1419
